TestFile,"	ConNum","	ParttAlg","	Hybrid","	Early_Accept","	One_Shot"
alu,"	20","	0","	0.000993013381958","	0.000933170318604","	49.1634278297"
alu,"	20","	1","	0.0010130405426","	0.000890970230103","	48.6643419266"
bp,"	4","	0","	0.000230073928833","	0.000214099884033","	0.425223827362"
bp,"	4","	1","	0.000211954116821","	0.000212907791138","	0.392028093338"
cpu,"	74","	0","	0.00276517868042","	0.0024721622467","	180.059451103"
cpu,"	74","	1","	0.00310182571411","	0.00248098373413","	180.038309097"
cpu1,"	82","	0","	0.00365304946899","	0.00355696678162","	180.035214186"
cpu1,"	82","	1","	0.00391912460327","	0.00356006622314","	180.072097778"
cpu2,"	69","	0","	0.00272297859192","	0.00242805480957","	180.068034887"
cpu2,"	69","	1","	0.00269603729248","	0.00238990783691","	180.010322809"
cpu3,"	75","	0","	0.00261092185974","	0.00246906280518","	180.014497042"
cpu3,"	75","	1","	0.00335907936096","	0.00264406204224","	180.072816133"
cpu4,"	95","	0","	180.002520084","	180.001636982","	180.002908945"
cpu4,"	95","	1","	69.4269380569","	43.3305399418","	180.023052931"
ddram,"	0","	0","	2.59876251221e-05","	2.40802764893e-05","	6.91413879395e-06"
ddram,"	0","	1","	1.21593475342e-05","	1.00135803223e-05","	5.00679016113e-06"
dsram,"	4","	0","	0.0001540184021","	0.000151872634888","	0.448478937149"
dsram,"	4","	1","	0.000168085098267","	0.000150918960571","	0.362232923508"
dsram1,"	4","	0","	0.498699903488","	0.54816198349","	0.359678030014"
dsram1,"	4","	1","	0.126659870148","	2.84569907188","	0.298645973206"
dsram2,"	3","	0","	0.000128030776978","	9.79900360107e-05","	0.478816986084"
dsram2,"	3","	1","	0.000133037567139","	0.000113964080811","	0.395023107529"
dsram3,"	2","	0","	6.98566436768e-05","	4.10079956055e-05","	0.135677099228"
dsram3,"	2","	1","	6.5803527832e-05","	4.00543212891e-05","	0.109208106995"
dsram4,"	3","	0","	0.000131845474243","	0.000110149383545","	0.483158111572"
dsram4,"	3","	1","	0.000117063522339","	0.0001220703125","	0.400546073914"
dsram5,"	6","	0","	0.205739974976","	1.57960796356","	0.536206007004"
dsram5,"	6","	1","	0.17130112648","	21.9586708546","	0.449653148651"
dsram6,"	4","	0","	0.143311977386","	0.48818898201","	0.302551984787"
dsram6,"	4","	1","	0.375219106674","	2.84318089485","	0.241724014282"
dsram7,"	4","	0","	0.000164031982422","	0.000162124633789","	0.437614917755"
dsram7,"	4","	1","	0.000159025192261","	0.000123977661133","	0.361809968948"
dtram,"	3","	0","	0.000120878219604","	9.91821289062e-05","	0.475616931915"
dtram,"	3","	1","	0.000123977661133","	8.98838043213e-05","	0.389137983322"
ex,"	20","	0","	0.000370979309082","	0.000346899032593","	35.4383678436"
ex,"	20","	1","	0.000353813171387","	0.000362873077393","	29.6297309399"
idram,"	3","	0","	0.000115871429443","	7.79628753662e-05","	0.493943929672"
idram,"	3","	1","	0.0001060962677","	7.79628753662e-05","	0.40521979332"
if,"	9","	0","	0.00043797492981","	0.000394821166992","	9.39978480339"
if,"	9","	1","	0.000375032424927","	0.000388145446777","	7.80757308006"
isram,"	3","	0","	9.3936920166e-05","	7.5101852417e-05","	0.443081855774"
isram,"	3","	1","	0.000109195709229","	8.39233398438e-05","	0.369400024414"
itram,"	3","	0","	0.000111103057861","	8.29696655273e-05","	0.445425033569"
itram,"	3","	1","	0.000103950500488","	9.79900360107e-05","	0.38045501709"
mem,"	163","	0","	33.5088148117","	180.001302958","	180.050571918"
mem,"	163","	1","	142.958088875","	180.001185179","	180.054053068"
mem1,"	16","	0","	0.000625133514404","	0.000529050827026","	53.6602971554"
mem1,"	16","	1","	0.00060510635376","	0.000519990921021","	42.2940349579"
mem10,"	19","	0","	0.000309944152832","	0.000285148620605","	180.091767073"
mem10,"	19","	1","	0.000359058380127","	0.000232934951782","	180.052757978"
mem11,"	24","	0","	0.000488042831421","	0.000458955764771","	180.084010124"
mem11,"	24","	1","	0.000582218170166","	0.000485181808472","	180.082613945"
mem12,"	18","	0","	29.4949569702","	20.8491001129","	128.985701084"
mem12,"	18","	1","	0.44038105011","	0.297199010849","	268.568640947"
mem13,"	21","	0","	15.2725250721","	11.7690069675","	180.086449146"
mem13,"	21","	1","	2.0210981369","	1.35628199577","	180.105589867"
mem14,"	9","	0","	6.10816001892","	28.0520009995","	10.641972065"
mem14,"	9","	1","	0.880446910858","	180.041507959","	8.08540010452"
mem15,"	21","	0","	180.009640932","	180.00512886","	180.051160097"
mem15,"	21","	1","	1.93129205704","	180.037048101","	180.080445051"
mem16,"	9","	0","	0.000162124633789","	0.000144004821777","	21.6043021679"
mem16,"	9","	1","	0.000204086303711","	0.000155925750732","	16.3275930882"
mem17,"	21","	0","	35.1954700947","	180.007556915","	51.7409260273"
mem17,"	21","	1","	6.55910778046","	180.00414896","	41.254556179"
mem18,"	19","	0","	2.27174091339","	1.6192908287","	180.004924059"
mem18,"	19","	1","	6.08022499084","	3.5614900589","	180.003310919"
mem19,"	8","	0","	5.42724299431","	15.4634079933","	5.58222484589"
mem19,"	8","	1","	0.482405185699","	180.055847883","	4.22304701805"
mem2,"	48","	0","	0.00272297859192","	0.00259685516357","	180.090590954"
mem2,"	48","	1","	0.00265693664551","	0.00255584716797","	180.00346303"
mem20,"	23","	0","	29.0625450611","	180.008751154","	180.067474127"
mem20,"	23","	1","	2.33001303673","	180.001700878","	180.082532167"
mem21,"	9","	0","	0.000159025192261","	0.000162124633789","	21.330807209"
mem21,"	9","	1","	0.000195026397705","	0.000160932540894","	15.8130550385"
mem22,"	22","	0","	24.1291630268","	180.000041962","	62.350053072"
mem22,"	22","	1","	0.62146115303","	180.004664898","	50.1824908257"
mem3,"	30","	0","	0.000856876373291","	0.000675201416016","	180.03827095"
mem3,"	30","	1","	0.000802993774414","	0.000692129135132","	180.016793966"
mem4,"	68","	0","	180.006617069","	180.006803036","	180.020716906"
mem4,"	68","	1","	180.000224829","	180.008739948","	180.053814888"
mem5,"	112","	0","	180.013540983","	180.003243923","	180.06697011"
mem5,"	112","	1","	180.005476952","	180.005082846","	180.035098791"
mem6,"	33","	0","	0.00117492675781","	0.0011157989502","	180.002658844"
mem6,"	33","	1","	0.00121188163757","	0.00106287002563","	180.001605988"
mem7,"	33","	0","	180.001214981","	180.000758171","	180.064165831"
mem7,"	33","	1","	180.004930973","	180.003474951","	180.082532883"
mem8,"	17","	0","	0.00028920173645","	0.000256061553955","	180.089910984"
mem8,"	17","	1","	0.000280141830444","	0.000270843505859","	180.044320107"
mem9,"	29","	0","	0.000899076461792","	0.000802040100098","	180.072097063"
mem9,"	29","	1","	0.00095796585083","	0.000777006149292","	180.057717085"
mips,"	21","	0","	0.000588893890381","	0.000547885894775","	165.293181181"
mips,"	21","	1","	0.000571012496948","	0.000518083572388","	129.623689175"
ps-alu,"	14","	0","	0.00104403495789","	0.000940084457397","	7.55115008354"
